Example,In a hurry,Long Delay,Confident,Safety Critical Decision,Asked Before,Decision
1,1,0,1,1,0,No
2,0,0,0,0,0,No
3,0,1,0,0,0,No
4,1,1,1,1,0,No
5,1,1,0,1,1,No
6,0,0,1,1,1,Yes
7,0,1,0,0,1,No
8,1,1,1,1,1,Yes
9,1,1,1,0,0,No
10,1,0,1,1,1,Yes
11,0,1,1,0,1,Yes
12,1,0,1,0,0,No
13,0,0,1,0,0,No
14,0,1,1,1,1,Yes
15,0,1,1,0,0,Yes
16,0,0,1,1,0,Yes
17,1,1,0,1,1,Yes
18,0,0,0,0,0,No
19,0,0,0,0,0,Yes
20,1,0,0,1,0,Yes
21,0,1,0,1,0,Yes
22,0,0,0,1,1,No
23,1,0,0,0,1,Yes
24,1,0,0,1,1,Yes
25,0,0,1,1,0,No
26,0,1,0,0,0,No
27,0,0,0,0,1,No
28,0,1,1,0,0,No
29,0,0,0,0,1,Yes
30,0,1,1,1,0,Yes
31,0,0,1,1,0,Yes
32,1,0,1,1,0,Yes
33,1,1,1,0,0,No
34,0,1,1,0,1,No
35,1,1,0,0,0,No
36,1,1,1,1,1,Yes
37,1,0,0,1,1,Yes
38,1,0,1,1,0,Yes
39,0,1,1,1,1,Yes
40,0,0,1,0,0,Yes
41,0,1,0,0,0,Yes
42,1,0,0,0,1,Yes
43,1,1,0,0,1,No
44,1,1,0,0,0,Yes
45,1,1,0,1,0,No
46,0,0,1,0,1,No
47,0,0,1,0,1,No
48,0,1,1,0,0,No
49,0,0,0,1,1,Yes
50,0,1,0,0,0,Yes
51,1,0,1,0,0,Yes
52,0,0,0,1,0,No
53,0,1,1,0,1,Yes
54,1,0,0,1,1,Yes
55,0,1,0,1,1,Yes
56,1,0,0,0,1,Yes
57,1,0,1,1,1,Yes
58,1,0,0,0,0,No
59,1,1,0,0,1,No
60,1,0,0,1,0,Yes
61,0,1,0,1,1,Yes
62,0,1,1,1,1,Yes
63,0,1,1,1,0,Yes
64,0,1,1,1,0,No
65,0,1,1,0,1,Yes
66,1,1,0,0,0,Yes
67,1,1,1,0,1,Yes
68,1,1,0,1,0,Yes
69,1,0,0,1,1,No
70,1,0,1,0,1,Yes
71,0,0,0,0,1,No
72,1,0,0,0,0,No
73,0,1,1,0,1,Yes
74,0,0,0,1,0,Yes
75,1,1,0,0,1,Yes
76,1,1,0,0,0,Yes
77,0,1,1,0,0,No
78,0,0,1,0,0,No
79,0,0,1,0,1,No
80,1,0,1,1,0,Yes
81,0,0,0,0,1,Yes
82,0,1,1,0,1,Yes
83,0,1,0,1,0,Yes
84,0,0,1,0,0,Yes
85,0,1,0,1,0,Yes
86,0,1,1,1,1,Yes
87,1,0,1,1,0,No
88,0,1,0,1,1,Yes
89,0,0,0,0,0,No
90,1,0,0,1,0,Yes
91,0,1,0,0,1,Yes
92,1,1,0,1,0,Yes
93,0,0,1,0,0,No
94,1,0,1,0,1,No
95,0,1,1,1,0,Yes
96,1,0,0,1,0,Yes
97,1,1,0,1,0,No
98,0,1,0,0,1,No
99,0,1,1,0,1,Yes
100,1,1,1,0,0,No